[2016-05-04 00:21:30.825585]; PopCmd ; QueueEmpty
[2016-05-04 00:21:31.840174]; ReceiveUART ; 
[2016-05-04 00:21:31.843177]; PopCmd ; QueueEmpty
[2016-05-04 00:21:32.852570]; ReceiveUART ; 
[2016-05-04 00:21:32.856574]; PopCmd ; QueueEmpty
[2016-05-04 00:21:33.867335]; ReceiveUART ; 
[2016-05-04 00:21:33.870338]; PopCmd ; QueueEmpty
[2016-05-04 00:21:34.877731]; ReceiveUART ; 
[2016-05-04 00:21:34.881735]; PopCmd ; QueueEmpty
[2016-05-04 00:21:35.893704]; ReceiveUART ; 
[2016-05-04 00:21:35.898698]; PopCmd ; QueueEmpty
[2016-05-04 00:21:36.909653]; ReceiveUART ; 
[2016-05-04 00:21:36.913656]; PopCmd ; QueueEmpty
[2016-05-04 00:21:37.924134]; ReceiveUART ; 
[2016-05-04 00:21:37.927139]; PopCmd ; QueueEmpty
[2016-05-04 00:21:38.939214]; ReceiveUART ; 
[2016-05-04 00:21:38.943217]; PopCmd ; QueueEmpty
[2016-05-04 00:21:39.953271]; ReceiveUART ; 
[2016-05-04 00:21:39.957274]; PopCmd ; QueueEmpty
[2016-05-04 00:21:40.965152]; ReceiveUART ; 
[2016-05-04 00:21:40.969157]; PopCmd ; QueueEmpty
[2016-05-04 00:21:41.981300]; ReceiveUART ; 
[2016-05-04 00:21:41.986304]; PopCmd ; QueueEmpty
[2016-05-04 00:21:42.994643]; ReceiveUART ; 
[2016-05-04 00:21:42.998649]; PopCmd ; QueueEmpty
[2016-05-04 00:21:44.011897]; ReceiveUART ; 
[2016-05-04 00:21:44.015899]; PopCmd ; QueueEmpty
[2016-05-04 00:21:45.025327]; ReceiveUART ; 
[2016-05-04 00:21:45.029332]; PopCmd ; QueueEmpty
[2016-05-04 00:21:46.040196]; ReceiveUART ; 
[2016-05-04 00:21:46.043199]; PopCmd ; QueueEmpty
[2016-05-04 00:21:47.057469]; ReceiveUART ; 
[2016-05-04 00:21:47.060473]; PopCmd ; QueueEmpty
[2016-05-04 00:21:48.071762]; ReceiveUART ; 
[2016-05-04 00:21:48.075764]; PopCmd ; QueueEmpty
[2016-05-04 00:21:49.091740]; ReceiveUART ; 
[2016-05-04 00:21:49.100729]; PopCmd ; QueueEmpty
[2016-05-04 00:21:50.127718]; ReceiveUART ; 
[2016-05-04 00:21:50.142747]; PopCmd ; QueueEmpty
[2016-05-04 00:21:51.162288]; ReceiveUART ; 
[2016-05-04 00:21:51.170294]; PopCmd ; QueueEmpty
[2016-05-04 00:21:52.187737]; ReceiveUART ; 
[2016-05-04 00:21:52.190751]; PopCmd ; QueueEmpty
[2016-05-04 00:21:53.202064]; ReceiveUART ; 
[2016-05-04 00:21:53.211070]; PopCmd ; QueueEmpty
[2016-05-04 00:21:54.222968]; ReceiveUART ; 
[2016-05-04 00:21:54.225971]; PopCmd ; QueueEmpty
[2016-05-04 00:21:55.234188]; ReceiveUART ; 
[2016-05-04 00:21:55.238191]; PopCmd ; QueueEmpty
[2016-05-04 00:21:56.251870]; ReceiveUART ; 
[2016-05-04 00:21:56.254873]; PopCmd ; QueueEmpty
[2016-05-04 00:21:57.263541]; ReceiveUART ; 
[2016-05-04 00:21:57.268547]; PopCmd ; QueueEmpty
[2016-05-04 00:21:58.276258]; ReceiveUART ; 
[2016-05-04 00:21:58.280259]; PopCmd ; QueueEmpty
[2016-05-04 00:21:59.287971]; ReceiveUART ; 
[2016-05-04 00:21:59.291974]; PopCmd ; QueueEmpty
[2016-05-04 00:22:00.303688]; ReceiveUART ; 
