[2016-05-19 15:41:29.284972]; PushCmd ; inData ; bytearray(b'\xa5\x022#\x13Z')
[2016-05-19 15:41:29.284972]; PushCmd ; inData ; bytearray(b'\xa5\x021n]Z')
[2016-05-19 15:41:29.300604]; PushCmd ; inData ; bytearray(b'\xa5\x022%\x15Z')
[2016-05-19 15:41:29.300604]; PushCmd ; inData ; bytearray(b'\xa5\x021l_Z')
[2016-05-19 15:41:29.316222]; PushCmd ; inData ; bytearray(b'\xa5\x022&\x16Z')
[2016-05-19 15:41:29.331850]; PushCmd ; inData ; bytearray(b'\xa5\x021l_Z')
[2016-05-19 15:41:29.347466]; PushCmd ; inData ; bytearray(b'\xa5\x022&\x16Z')
[2016-05-19 15:41:29.363083]; PushCmd ; inData ; bytearray(b'\xa5\x021l_Z')
[2016-05-19 15:41:29.363083]; PushCmd ; inData ; bytearray(b'\xa5\x022&\x16Z')
[2016-05-19 15:41:29.394317]; PushCmd ; inData ; bytearray(b'\xa5\x021kXZ')
[2016-05-19 15:41:29.409934]; PushCmd ; inData ; bytearray(b'\xa5\x022&\x16Z')
[2016-05-19 15:41:29.534883]; PushCmd ; inData ; bytearray(b'\xa5\x021kXZ')
[2016-05-19 15:41:29.550493]; PushCmd ; inData ; bytearray(b'\xa5\x022&\x16Z')
[2016-05-19 15:41:29.566110]; PushCmd ; inData ; bytearray(b'\xa5\x021iZZ')
[2016-05-19 15:41:29.581726]; PushCmd ; inData ; bytearray(b'\xa5\x022&\x16Z')
[2016-05-19 15:41:29.581726]; PushCmd ; inData ; bytearray(b'\xa5\x021gTZ')
[2016-05-19 15:41:29.597315]; PushCmd ; inData ; bytearray(b'\xa5\x022&\x16Z')
[2016-05-19 15:41:29.628576]; PushCmd ; inData ; bytearray(b'\xa5\x021dWZ')
[2016-05-19 15:41:29.644168]; PushCmd ; inData ; bytearray(b'\xa5\x022&\x16Z')
[2016-05-19 15:41:29.644168]; PushCmd ; inData ; bytearray(b'\xa5\x021bQZ')
[2016-05-19 15:41:29.659812]; PushCmd ; inData ; bytearray(b'\xa5\x022&\x16Z')
[2016-05-19 15:41:29.675430]; PushCmd ; inData ; bytearray(b'\xa5\x021aRZ')
[2016-05-19 15:41:29.691048]; PushCmd ; inData ; bytearray(b'\xa5\x022&\x16Z')
[2016-05-19 15:41:29.706665]; PushCmd ; inData ; bytearray(b'\xa5\x021^mZ')
[2016-05-19 15:41:29.722282]; PushCmd ; inData ; bytearray(b'\xa5\x022&\x16Z')
[2016-05-19 15:41:29.722282]; PushCmd ; inData ; bytearray(b'\xa5\x021[hZ')
[2016-05-19 15:41:29.737899]; PushCmd ; inData ; bytearray(b"\xa5\x022\'\x17Z")
[2016-05-19 15:41:29.769133]; PushCmd ; inData ; bytearray(b'\xa5\x021WdZ')
[2016-05-19 15:41:29.784724]; PushCmd ; inData ; bytearray(b'\xa5\x022(\x18Z')
[2016-05-19 15:41:29.800341]; PushCmd ; inData ; bytearray(b'\xa5\x021UfZ')
[2016-05-19 15:41:29.800341]; PushCmd ; inData ; bytearray(b'\xa5\x022)\x19Z')
[2016-05-19 15:41:29.815986]; PushCmd ; inData ; bytearray(b'\xa5\x021TgZ')
[2016-05-19 15:41:29.831603]; PushCmd ; inData ; bytearray(b'\xa5\x022)\x19Z')
[2016-05-19 15:41:29.847222]; PushCmd ; inData ; bytearray(b'\xa5\x021RaZ')
[2016-05-19 15:41:29.862838]; PushCmd ; inData ; bytearray(b'\xa5\x022*\x1aZ')
[2016-05-19 15:41:29.862838]; PushCmd ; inData ; bytearray(b'\xa5\x021QbZ')
[2016-05-19 15:41:29.878427]; PushCmd ; inData ; bytearray(b'\xa5\x022*\x1aZ')
[2016-05-19 15:41:29.894073]; PushCmd ; inData ; bytearray(b'\xa5\x021QbZ')
[2016-05-19 15:41:29.909689]; PushCmd ; inData ; bytearray(b'\xa5\x022*\x1aZ')
[2016-05-19 15:41:29.940924]; PushCmd ; inData ; bytearray(b'\xa5\x021QbZ')
[2016-05-19 15:41:29.956517]; PushCmd ; inData ; bytearray(b'\xa5\x022+\x1bZ')
[2016-05-19 15:41:29.987803]; PushCmd ; inData ; bytearray(b'\xa5\x021QbZ')
[2016-05-19 15:41:29.987803]; PushCmd ; inData ; bytearray(b'\xa5\x022+\x1bZ')
[2016-05-19 15:41:30.034628]; PushCmd ; inData ; bytearray(b'\xa5\x021QbZ')
[2016-05-19 15:41:30.050219]; PushCmd ; inData ; bytearray(b'\xa5\x022,\x1cZ')
[2016-05-19 15:41:30.065840]; PushCmd ; inData ; bytearray(b'\xa5\x021QbZ')
[2016-05-19 15:41:30.081480]; PushCmd ; inData ; bytearray(b'\xa5\x022,\x1cZ')
[2016-05-19 15:41:30.097112]; PushCmd ; inData ; bytearray(b'\xa5\x021QbZ')
[2016-05-19 15:41:30.097112]; PushCmd ; inData ; bytearray(b'\xa5\x022,\x1cZ')
[2016-05-19 15:41:30.112688]; PushCmd ; inData ; bytearray(b'\xa5\x021QbZ')
[2016-05-19 15:41:30.128332]; PushCmd ; inData ; bytearray(b'\xa5\x022-\x1dZ')
